,add,remove,remove_index
0,история,летний,[]
1,истина,азартный,[]
2,обрасти,украсить,"[664, 907]"
3,печать,горчица,[123]
4,дело,чечевица,[]
5,факт,репчатый,[]
6,восток,чаффан,[]
7,помимо,шафрановый,[]
8,ресторан,йогуртов,"[49, 99]"
9,петроглиф,террина,[]
10,ботаника,гусятина,"[101, 182]"
11,ежевичноить,юкка,[]
12,сметаной,заварной,[35]
13,курс,сухофрукты,[219]
14,решить,нарезать,"[217, 660]"
15,кровь,острица,[]
16,инициация,анчоус,[]
17,доступный,вино,"[177, 226, 1158]"
18,курник,смесь,[]
19,исаков,клубничный,[]
20,событие,тест,[]
21,5000,кузовый,[863]
22,безалкогольный,шампин,"[5, 83, 170, 232, 300, 474, 498, 505, 519, 632, 650, 675, 711, 848, 1070, 1239]"
23,дровяной,жю,"[176, 227]"
24,тегуаня,стриплоин,[]
25,исторический,холодец,[30]
26,ростов,сёмга,"[78, 234, 281]"
27,предстоять,болонетто,[627]
28,совместно,обжарить,"[83, 86, 89, 132, 158, 165, 491]"
29,случиться,либел,[237]
30,шеф,минтай,[270]
31,знаковый,луковый,"[163, 220, 227]"
32,ватный,строчатель,[429]
33,мастер,белые,"[118, 168]"
34,енисей,жасмин,"[326, 419, 1118]"
35,88,боун,[122]
36,свой,крабовый,"[178, 785]"
37,весь,шкварка,[224]
38,бобёр,окунь,"[104, 131]"
39,leo,палента,[160]
40,матрёшка,джем,"[43, 1156]"
41,джина,урбеч,[724]
42,сутки,икорать,[884]
43,гастрономический,яичный,[310]
44,бармен,солнечный,[237]
45,кижучий,трюфель,"[5, 52, 68, 73, 97, 107, 117, 137, 139, 142, 146, 154, 168, 176, 198, 209, 217, 243, 250, 279, 331, 342, 373, 377, 395, 397, 408, 424, 428, 455, 459, 470, 496, 510, 516, 538, 541, 570, 623, 630, 651, 674, 681, 682, 711, 714, 718, 736, 754, 777, 778, 794, 810, 812, 814, 818, 822, 824, 825, 828, 833, 872, 904, 911, 913, 921, 925, 930, 946, 947, 948, 962, 982, 989, 998, 1047, 1053, 1067, 1142, 1149, 1171, 1217, 1220, 1228, 1235, 1237, 1251]"
46,золото,смузи,[283]
47,зовыя,панчетта,[174]
48,tunguska,розмарин,"[56, 226, 849]"
49,петербург,бедро,[53]
50,вручную,цыплячий,[403]
51,решать,denvers,[506]
52,излишество,сезанна,[361]
53,уточнять,сироп,[186]
54,сорока,черта,[235]
55,создание,порт,"[122, 183, 401, 496, 664, 687, 916, 987, 1058, 1061, 1160, 1169, 1224, 1226]"
56,гарифулина,находка,[258]
57,таволга,греческий,"[266, 285]"
58,подарок,подушка,[131]
59,шаман,тарталетка,[256]
60,сургучный,треугольный,[229]
61,ювелирный,можжевельник,[157]
62,морошкой,кальмар,"[46, 160, 185]"
63,булгаков,фермерской,[667]
64,предок,торт,"[45, 184, 251, 278]"
65,америкать,мятный,"[131, 236]"
66,некоторый,зукиня,[799]
67,la,печень,"[191, 220, 247]"
68,two,оригинальный,[561]
69,дерево,тесто,[]
70,10000,различный,[666]
71,черешнея,осьминог,[154]
72,смородиноя,шарик,[75]
73,чемеренко,курица,"[73, 238, 295, 323, 795]"
74,черноплодка,свежеть,[90]
75,городской,сервироваться,[227]
76,мистический,курдючный,[]
77,бер,спагетти,[46]
78,выбор,запеканка,"[49, 215]"
79,пожалуйста,заливное,[30]
80,посвятить,морель,[506]
81,консультироваться,икорь,[395]
82,который,осень,[237]
83,легенда,филе,"[1, 27, 55, 131, 151, 203, 215, 223, 240, 245, 251, 270, 274, 278, 286, 708]"
84,побег,мандариновый,[863]
85,устный,маниок,[160]
86,санкт,крюклок,[310]
87,пао,куриный,"[1, 18, 53, 130, 251, 254, 278, 415, 644, 659, 708]"
88,please,мушмула,[]
89,фантом,хлебный,[202]
90,финальный,таймень,[158]
91,ромей,печение,"[119, 205]"
92,аи,артишок,[170]
93,4000,татранский,[536]
94,оберег,молками,[894]
95,лес,гарнир,[556]
96,туруханский,коттой,"[126, 537, 618, 656, 992]"
97,цех,фунчез,[154]
98,представлять,ежевика,[393]
99,подробность,клюквенный,[110]
100,цесаревич,трипл,"[357, 564, 592, 614, 739, 804, 919, 947, 1062, 1230]"
101,зовой,охотничий,[]
102,благословение,муса,"[201, 390, 600, 602, 634, 640, 815, 871, 889, 988, 1036, 1208]"
103,сендвич,харчо,[206]
104,виноградный,крепнуть,[37]
105,сорт,сибас,[192]
106,запечатываться,паста,"[9, 21, 60, 117, 120, 209, 250, 279]"
107,благодарность,миндаль,"[45, 215]"
108,глава,кизил,[134]
109,восемь,омлет,"[188, 217]"
110,ртой,лаймовый,[262]
111,антон,канела,[929]
112,известный,черёмуха,[49]
113,культуролог,тефтели,[125]
114,фирменный,бурый,[156]
115,ремикс,редис,"[99, 187, 361, 503, 511, 935, 938, 1162]"
116,жасмина,парфе,[114]
117,китайский,росток,"[128, 187]"
118,явление,лосятина,[152]
119,0,сардина,[180]
120,корея,медовой,[112]
121,кучер,рататуйть,[595]
122,рубль,сома,[317]
123,девочка,пашот,"[128, 255]"
124,визит,бриошь,[163]
125,маринованноить,карри,"[267, 291]"
126,керамик,оливка,"[21, 148, 285]"
127,приобрести,рататуй,"[2, 595]"
128,гость,пастернак,[218]
129,крудо,ржаной,"[42, 157, 164, 171]"
130,персона,основа,"[225, 286]"
131,ром,фрешом,[585]
132,дон,канапе,[127]
133,наличие,монгольский,[100]
134,отдельный,кото,[154]
135,животное,панировка,[223]
136,молотый,кислый,[164]
137,четверг,ям,[238]
138,печеной,ригатони,[301]
139,брискета,гречневый,"[87, 131, 219, 234, 309, 661, 1258]"
140,привлечь,плов,[434]
141,полугодовой,колотый,[129]
142,забронировать,тигана,[591]
143,специалист,кабачоко,[211]
144,зобный,тимьян,[221]
145,место,икорой,[532]
146,бобров,рикотт,"[126, 173, 618, 992]"
147,3000,помидор,"[11, 54, 58, 252, 292, 327, 343, 851, 983]"
148,михайлов,мелко,"[217, 660]"
149,николай,сев,"[27, 39, 76, 80, 81, 90, 128, 149, 217, 253, 397, 406, 407, 425, 433, 441, 444, 485, 501, 527, 528, 532, 547, 548, 569, 586, 639, 655, 660, 663, 693, 694, 716, 726, 727, 740, 755, 800, 802, 814, 844, 864, 873, 881, 909, 917, 940, 954, 1006, 1021, 1040, 1045, 1154, 1212, 1215]"
150,ки,батат,"[51, 225]"
151,релихой,брусничный,"[45, 91, 113, 116, 230, 289, 534, 619]"
152,мокрец,слайс,[427]
153,ской,карамелизировать,[174]
154,ка,кленовый,"[186, 756, 831]"
155,город,корень,"[130, 240]"
156,продукт,козий,"[92, 136, 150, 172, 703, 848, 932]"
157,роман,творожный,"[49, 298, 705]"
158,великий,жульен,[221]
159,чолуукшура,броть,[588]
160,обращаться,местный,[28]
161,александр,мясо,"[108, 178, 218, 227]"
162,омуль,ягель,[167]
163,администратор,сладкий,"[139, 218, 282, 295, 716, 743]"
164,перловкой,тюлька,[]
165,оля,манговый,"[80, 129]"
166,twenty,посыпать,"[182, 228]"
167,специалитет,дыня,[3]
168,г,тёплый,"[36, 63, 172, 189, 265, 273, 595, 840]"
169,заморозить,запеченой,[891]
170,вымысел,грильовать,[106]
171,тотемный,кудрявый,[331]
172,связанный,касадия,[801]
173,ирга,жюльный,[176]
174,искусство,морской,"[38, 50, 74, 120, 190, 235, 258, 276, 305]"
175,максим,лаффер,[]
176,мухомор,мягкий,[47]
177,колола,ромашковый,[162]
178,водка,ракушка,[]
179,это,паск,[]
180,2000,икорный,"[398, 535, 556, 578, 949]"
181,дзе,фенхель,"[144, 215]"
182,исказиться,перепелкой,[667]
183,ет,жюльеном,[227]
184,забронироватьс,тортилья,"[251, 278]"
185,красноярск,подать,"[192, 268, 363, 471, 475, 507, 541, 809, 828, 863, 864]"
186,кормление,пекан,"[23, 49, 215, 565, 604, 721, 1000]"
187,новосибирск,суборда,[229]
188,начало,фондан,"[568, 744]"
189,dry,взгляд,[]
190,железо,игристый,[553]
191,bellini,компот,"[263, 349, 419, 1079, 1248]"
192,огонь,карпаччо,"[144, 170]"
193,магнат,кунжут,"[18, 196, 233, 563, 1071, 1240]"
194,рассказать,пирожок,"[103, 126, 191, 264, 275, 318]"
195,официант,паштет,"[157, 220, 239]"
196,городскимиисторик,порей,"[58, 214]"
197,93,широколобик,[127]
198,телятиноя,щупальце,[160]
199,мочь,исчезать,[385]
200,противоядие,удалёна,[885]
201,заказ,углеводный,[295]
202,лангустин,диковинка,[976]
203,современный,солёный,"[73, 133, 598]"
204,заклинание,рис,"[1, 7, 31, 148, 267, 553, 573, 1158, 1165]"
205,ложь,кулинарный,[319]
206,джема,подавать,"[180, 191, 234, 410, 591, 612, 784, 785, 813, 882, 980, 1012, 1134, 1135, 1136, 1137]"
207,представитель,японский,[188]
208,поучаствовалошесть,корочка,[215]
209,хлопковый,уголь,"[229, 491, 543, 866, 977, 1210, 1228]"
210,оваа,розовый,"[175, 239]"
211,дух,масляный,[205]
212,голова,барашек,[226]
213,мырской,ягода,"[64, 145, 152, 157, 179, 207, 218, 222, 254, 256, 277, 459]"
214,завтрак,порция,[]
215,существовать,вид,[202]
216,сказочный,лён,"[40, 48, 59, 69, 70, 73, 77, 133, 147, 181, 217, 224, 227, 248, 306, 326, 353, 362, 376, 388, 395, 409, 492, 526, 528, 537, 538, 540, 558, 566, 574, 577, 579, 585, 596, 598, 651, 656, 674, 677, 679, 696, 701, 707, 714, 722, 777, 779, 781, 794, 795, 799, 814, 849, 857, 879, 880, 882, 885, 897, 905, 925, 939, 969, 979, 989, 992, 994, 998, 1021, 1023, 1032, 1033, 1067, 1117, 1144, 1166, 1167, 1170, 1241]"
217,б,обленный,[943]
218,камера,азу,"[55, 65, 133, 365, 395, 408, 496, 538, 635, 651, 707, 722, 786, 872, 883, 907, 913, 925, 948, 962, 989, 1023, 1057, 1067, 1194, 1225, 1237, 1241]"
219,команда,брынза,[241]
220,упаковываться,лука,[247]
221,четверговый,грильованный,[]
222,тархун,хворост,[162]
223,тысяча,шиитака,"[1, 132, 212]"
224,сертификат,четыре,[202]
225,дмитрий,lemon,[980]
226,дрессинга,яйцо,"[128, 255]"
227,существование,зелень,"[13, 193, 206, 241, 269]"
228,дикой,медведь,"[156, 218]"
229,щека,клевер,[187]
230,сообщить,сушёный,"[28, 292]"
231,компания,пончик,[840]
232,каждый,прошутто,[3]
233,определённый,помидорный,[327]
234,инь,клювой,"[597, 779, 835]"
235,сусальный,лодочка,[252]
236,269,песочный,[162]
237,позволить,кета,"[153, 221, 1158]"
238,хуан,голландез,"[428, 630, 718, 833, 1047, 1217]"
239,трюфельноить,жирный,[54]
240,клюквой,сацебель,[185]
241,аллергия,художественный,[]
242,ганаш,жка,"[80, 352, 403, 486, 521, 555, 598, 638, 666, 674, 682, 764, 770, 813, 837, 901, 934, 971, 1068, 1238]"
243,хреновуха,ассорти,"[93, 236, 249, 307]"
244,рной,чиз,"[163, 173, 213, 277, 324, 376, 456, 520, 532, 546, 685, 705, 730, 761, 783, 821, 926, 1083, 1161]"
245,age,судак,"[55, 215, 245]"
246,любимов,чкома,[863]
247,время,улуном,"[425, 762, 966]"
248,мешок,пара,"[188, 192]"
249,воскресение,тарт,"[4, 15, 25, 26, 50, 71, 87, 95, 113, 152, 153, 169, 176, 194, 234, 256, 263, 288, 305, 312, 315, 414, 418, 482, 488, 509, 513, 524, 531, 559, 579, 593, 603, 625, 640, 659, 696, 722, 729, 733, 757, 759, 762, 766, 787, 788, 808, 826, 833, 854, 862, 874, 876, 898, 903, 915, 924, 938, 964, 972, 973, 1022, 1023, 1026, 1163, 1164, 1193, 1194, 1200]"
250,эстрагон,сердце,"[68, 415]"
251,декоратор,серый,[305]
252,75,кориандр,[104]
253,кедровка,тушёный,"[177, 856]"
254,родниковый,фламбе,[35]
255,одуванчик,коктейль,"[175, 697]"
256,kitchen,ароматный,"[216, 225]"
257,ежевичный,сырник,[]
258,еловый,гусь,[227]
259,номинал,грудинка,"[224, 226]"
260,неузнаваемость,тресковый,[191]
261,жный,кролик,"[191, 240]"
262,стоимость,цедра,[221]
263,малин,калин,"[472, 515, 816, 886, 955, 1177]"
264,баран,медальон,[72]
265,biga,базилика,[193]
266,сотрудничать,рябчик,[265]
267,многие,устричный,"[255, 399]"
268,правда,терин,[396]
269,результат,сливка,[311]
270,природный,самса,[]
271,pearl,грейпфрут,[175]
272,трушин,начинка,"[15, 69, 302]"
273,малой,буйволин,[142]
274,михаил,лососёвый,"[16, 107, 242]"
275,ромейный,десерт,"[24, 42, 64, 79, 94, 134, 167, 324, 581, 965]"
276,также,свежевыжать,[763]
277,,сильный,[624]
278,,морепродукт,"[7, 57]"
279,,дымный,[643]
280,,рукола,"[59, 279]"
281,,ролл,[193]
282,,быстрый,[247]
283,,ночной,[52]
284,,jelly,[980]
285,,янтарь,[230]
286,,миньон,[151]
287,,укроп,"[103, 216, 228, 258, 297, 308, 339, 362, 630, 951, 1027, 1201]"
288,,айва,[161]
289,,скумбрия,[287]
290,,овёс,[]
291,,уютный,[647]
292,,очарование,[47]
293,,свинин,"[85, 228, 289, 291, 834]"
294,,засахарить,[218]
295,,специя,[100]
296,,ремулад,[153]
297,,грена,[158]
298,,укрытый,[542]
299,,семя,"[87, 224]"
300,,полить,[228]
301,,шалфей,[415]
302,,узбекский,[434]
303,,моллюск,[81]
304,,тост,"[180, 234, 255, 296]"
305,,фондон,[963]
306,,рагу,"[290, 416]"
307,,микс,"[187, 539, 1249]"
308,,брауни,[597]
309,,орешек,"[161, 185, 208, 220]"
310,,волнушка,[124]
311,,боб,"[63, 396]"
312,,крутон,[243]
313,,тный,"[10, 28, 46, 51, 89, 129, 131, 165, 180, 196, 216, 223, 225, 233, 236, 289, 303, 365, 530, 563, 647, 804, 899, 987, 995, 1058, 1071, 1160, 1226, 1233, 1240]"
314,,миндальный,[45]
315,,олений,[476]
316,,кабачковый,[492]
317,,крылышко,"[18, 130]"
318,,тарелка,"[84, 202, 295]"
319,,чаемый,"[388, 677, 805, 958, 964]"
320,,треск,"[191, 214, 258, 286]"
321,,кость,[226]
322,,карамельный,[130]
323,,фасоль,"[128, 225]"
324,,гренка,"[137, 157, 199, 220]"
325,,малина,"[114, 167, 899]"
326,,гуляш,[]
327,,карий,[]
328,,гаспачо,"[129, 253]"
329,,изать,[397]
330,,варение,"[165, 171, 282]"
331,,горячее,[440]
332,,пикантный,[303]
333,,пралине,[236]
334,,колбаса,[19]
335,,сырой,[771]
336,,шефский,[]
337,,сушить,[268]
338,,булгуром,[262]
339,,мусса,"[162, 311]"
340,,бешамель,[178]
341,,мясной,[222]
342,,крахмальный,[148]
343,,пекински,[262]
344,,пудинг,[56]
345,,щука,[145]
346,,пит,"[41, 965, 1089]"
347,,драник,[226]
348,,коппеть,"[714, 717]"
349,,яркий,[187]
350,,ленком,[596]
351,,топинамур,"[378, 666]"
352,,хумус,"[41, 390, 600, 602, 634, 640, 809, 815, 871, 889, 988, 1036, 1208]"
353,,камбала,[178]
354,,фруктовый,"[134, 299]"
355,,коренья,[240]
356,,ризотто,"[38, 57, 146, 235]"
357,,йогурт,"[49, 99, 266]"
358,,гратный,[89]
359,,кускус,[]
360,,свинина,"[228, 291, 834]"
361,,кипеть,[]
362,,гарнировать,[]
363,,seasonal,[]
364,,вепрь,[]
365,,каштан,[]
366,,листик,[]
367,,кондитерский,[]
368,,соевый,"[188, 268]"
369,,фрукт,"[134, 219, 249, 299]"
370,,перепелиный,[219]
371,,стружка,[]
372,,кисло,[218]
373,,ветчина,[216]
374,,блинчик,"[282, 293]"
375,,ожидание,[284]
376,,ананас,[283]
377,,тайский,[1114]
378,,корица,[312]
379,,спаржа,"[22, 260, 943]"
380,,кулич,[]
381,,заправить,"[181, 189]"
382,,шашлык,[]
383,,потрошка,[]
384,,крупыч,[]
385,,утка,"[135, 181, 244, 257, 259, 262, 310]"
386,,лайм,"[180, 262, 269, 272]"
387,,оливковый,"[189, 200, 261]"
388,,шипучий,[]
389,,фейхоа,[]
390,,коптить,"[216, 378, 593, 758, 765, 773, 909, 1068, 1158]"
391,,лёгкий,[838]
392,,фетой,"[10, 285]"
393,,риболлита,[]
394,,чизкей,"[173, 213, 277, 324, 376, 456, 520, 685, 705, 730, 761, 821, 926, 1083, 1161]"
395,,томлёный,[227]
396,,картошка,[155]
397,,цвета,"[352, 432]"
398,,пряность,"[261, 280]"
399,,арктический,[258]
400,,обжечь,"[554, 975]"
401,,бефстроганов,[]
402,,фрехать,[763]
