,Russian,English
0,Тартар из оленины с облепиховым соусом и кедровыми орешками,Venison tartare with sea buckthorn sauce and pine nuts
1,Карпаччо из мускуна с малиновым уксусом и листьями шпината,Muksun carpaccio with raspberry vinegar and spinach leaves
2,Строганина из нерки с укропным песто и хрустящими ржаными гренками,Sockeye salmon stroganina with dill pesto and crispy rye toasts
3,Сельдь под шубой со свеклой, Herrign salad with beets
4,Копченый угорь с яблочным пюре и хреновым кремом,Smoked eel with apple purée and horseradish cream
5,Парфе из печени утки с вишневым конфитюром и грецким орехом,Duck liver parfait with cherry confit and walnuts
6,"Сало, замаринованное в меду с черным перцем и можжевельником","Lard marinated with honey, black pepper and juniper"
7,Осетрина холодного копчения с соусом из морошки,Cold-smoked sturgeon with cloudberry sauce
8,Сырный мусс с грушевым чатни и гречишными хлопьями,Cheese mousse with pear chutney and buckwheat flakes
9,Икра сига с блинами из гречневой муки,Whitefish caviar with buckwheat pancakes
10,"Салат с копченым гусем, рукколой и гранатовой заправкой","Salad with smoked goose, arugula, and pomegranate dressing"
11,Тёплый салат с утиной грудкой и апельсиновым винегретом,Warm salad with duck breast and orange vinaigrette
12,"Свекольный салат с козьим сыром, фундуком и бальзамической глазурью","Beetroot salad with goat cheese, hazelnuts, and balsamic glaze"
13,"Салат «Тайга» с копчёной олениной, морошкой и кедровыми орешками","""Taiga"" salad with smoked venison, cloudberries, and pine nuts"
14,"Салат из запечённой тыквы с киноа, фетой и тыквенным маслом","Roasted pumpkin salad with quinoa, feta, and pumpkin seed oil"
15,"Овощной салат с фермерскими томатами, моцареллой и базиликовым песто","Vegetable salad with tomatoes, mozzarella and basil pesto"
16,"Салат из корня сельдерея с яблоком, горчичным соусом и изюмом","Celery root salad with apple, mustard dressing, and raisins"
17,"Зеленый салат с авокадо, грейпфрутом и лимонным цитроном","Green salad with avocado, grapefruit, and lemon citron"
18,"Салат с обжаренными шампиньонами, пармезаном и трюфельным маслом","Salad with sautéed mushrooms, parmesan cheese, and truffle oil"
19,"Сагудай из омуля с кинзой, луком и острым перцем","Omul sagudai with cilantro, onion, and chili"
20,Уха из трёх видов рыбы с шафраном и сливками,Fish soup with saffron and cream
21,"Солянка сборная с мясом косули, солёными огурцами и маслинами", Roe deer solyanka soup with pickles and olives
22,Крем-суп из белых грибов с трюфельной пеной,Porcini mushroom cream soup with truffle foam
23,Холодный гаспачо из арбуза с фетой и мятой, Watermelon gazpacho with feta and mint
24,Суп из чечевицы с копчёными рёбрышками и чёрным хлебом,Lentil soup with smoked ribs and black bread
25,Куриный бульон с пельменями из перепелки и укропом,Chicken broth with quail dumplings and dill
26,Французский луковый суп с коньяком и сырной корочкой,French onion soup with cognac and cheese crust
27,Тыквенный суп-пюре с имбирём и кокосовым молоком,Pumpkin purée soup with ginger and coconut milk
28,Щавелевый суп с яйцом-пашот и сметаной,Sorrel soup with poached egg and sour cream
29,Мисо-суп с грибами шиитаке и тофу,Miso soup with shiitake mushrooms and tofu
30,Стейк рибай из якутской говядины с соусом из красного вина,Ribeye steak from Yakutian beef with red wine sauce
31,Утка по-пекински с тонкими блинчиками и сливовым соусом,Peking duck with thin pancakes and plum sauce
32,Филе сибаса на коже с лимонно-укропным соусом,Sea bass fillet with crispy skin and lemon-dill sauce
33,Кролик в сливочном соусе с розмарином и молодой морковью,Rabbit in creamy rosemary sauce with baby carrots
34,Каре ягнёнка с чесночным пюре и баклажанной икрой,Lamb rack with garlic purée and eggplant caviar
35,Гуляш из зубра с паприкой и домашней лапшой,Bison stew with paprika and homemade noodles
36,Жаркое из кабана с картофелем и луковым мармеладом,Wild boar roast with potatoes and onion marmalade
37,Фазан в винном соусе с клюквой и лесными грибами,Pheasant in wine sauce with cranberries and wild mushrooms
38,Лосось на кедровой доске с медовым глазуром,Salmon on cedar plank with honey glaze
39,"Телячьи щёчки, томлёные в красном вине с пюре из сельдерея",Veal cheeks braised in red wine with celery purée
40,Картофельное пюре с трюфельным маслом,Mashed potatoes with truffle oil
41,Греча с луком и шампиньонами,Buckwheat with onions and mushrooms
42,Запечённая свёкла с козьим сыром и грецким орехом,Roasted beetroot with goat cheese and walnuts
43,"Тыква, запечённая с кленовым сиропом",Pumpkin baked with maple syrup
44,Ризотто с белыми грибами и пармезаном,Porcini mushroom risotto with parmesan cheese
45,Шоколадный фондан с малиновым сорбетом,Chocolate fondant with raspberry sorbet
46,Медовик с грецкими орехами и сгущёнкой,Honey cake with walnuts and condensed milk
47,Черничный чизкейк с ванильным соусом,Blueberry cheesecake with vanilla sauce
48,Клюквенный пай с ванильным мороженым,Cranberry pie with vanilla ice cream
49,Эклер с заварным кремом и карамелью,Éclair with custard and caramel
50,Утка в медовой глазури с грушевым пюре и розмарином,Duck in honey glaze with pear purée and rosemary.
51,Кролик в вишневом соусе с артишоками и молодым картофелем,Rabbit in cherry sauce with artichokes and baby potatoes.
52,Осетрина на пару с лимонным маслом и укропом,Steamed sturgeon with lemon butter and dill.
53,Копчёный угорь с соусом из белого вина и каперсов,Smoked eel with white wine sauce and capers.
54,Томатный суп с базиликом и моцареллой,Tomato soup with basil and mozzarella.
55,Крем-суп из тыквы с имбирём и кокосовым молоком,Pumpkin crème soup with ginger and coconut milk.
56,Карпаччо из оленины с пармезаном и рукколой,Venison carpaccio with parmesan and arugula.
57,Тартар из тунца с авокадо и кунжутом,Tuna tartare with avocado and sesame.
58,Лосось в корочке из миндаля с цитрусовым соусом,Salmon in almond crust with citrus sauce.
59,Морской окунь с томатами черри и оливками,Sea bass with cherry tomatoes and olives.
60,Фаршированные кабачки с козьим сыром и грецким орехом,Stuffed zucchini with goat cheese and walnuts.
61,Говяжий строганов с грибами и сметаной,Beef Stroganoff with mushrooms and sour cream.
62,Ветчина в медово-горчичном соусе с запечёнными яблоками,Ham in honey-mustard sauce with baked apples.
63,Куриная грудка с чесночным маслом и тимьяном,Chicken breast with garlic butter and thyme.
64,Телятина в винном соусе с трюфельным маслом,Veal in wine sauce with truffle oil.
65,Лазанья с баклажанами и сыром рикотта,Eggplant and ricotta lasagna.
66,Ризотто с белыми грибами и пармезаном,Risotto with porcini mushrooms and parmesan.
67,Паста с морепродуктами в томатном соусе,Pasta with seafood in tomato sauce.
68,Спагетти карбонара с панчеттой и яичным желтком,Spaghetti carbonara with pancetta and egg yolk.
69,Пенне с артишоками и вялеными томатами,Penne with artichokes and dried tomatoes.
70,Гречневая каша с грибами и луковым конфи,Buckwheat porridge with mushrooms and onion confit.
71,Плов с бараниной и курагой,Pilaf with lamb and dried apricots.
72,Пельмени с уткой и черносливом,Duck and prune dumplings.
73,Вареники с творогом и вишней,Cottage cheese and cherry dumplings.
74,Блины с красной икрой и сметаной,Pancakes with red caviar and sour cream.
75,Сырники с малиновым соусом,Cottage cheese pancakes with raspberry sauce.
76,Чизкейк с карамелью и морской солью,Cheesecake with caramel and sea salt.
77,Шоколадный фондан с малиной,Chocolate fondant with raspberry.
78,Тирамису с амаретто и какао,Tiramisu with amaretto and cocoa.
79,Крем-брюле с ванилью и свежими ягодами,Crème brûlée with vanilla and fresh berries.
80,Мороженое с фисташками и кленовым сиропом,Ice cream with pistachios and maple syrup.
81,Сорбет из лимона и мяты,Lemon and mint sorbet.
82,Глинтвейн с апельсином и корицей,Mulled wine with orange and cinnamon.
83,Безалкогольный мохито с лаймом и мятой,Non-alcoholic mojito with lime and mint.
84,Чай с жасмином и лепестками розы,Jasmine tea with rose petals.
85,Кофе с кардамоном и корицей,Coffee with cardamom and cinnamon.
86,Капучино с кокосовым молоком и карамелью,Cappuccino with coconut milk and caramel.
87,Смузи из манго и ананаса,Mango and pineapple smoothie.
88,Фреш из апельсина и моркови,Orange and carrot fresh juice.
89,Лимонад с мятой и лаймом,Lemonade with mint and lime.
90,Тосты с авокадо и кунжутом,Avocado toast with sesame.
91,Брускетта с томатами и базиликом,Bruschetta with tomatoes and basil.
92,Салат Цезарь с курицей и пармезаном,Caesar salad with chicken and parmesan.
93,Греческий салат с фетой и оливками,Greek salad with feta and olives.
94,"Салат с рукколой, грушей и орехами",Arugula salad with pear and nuts.
95,"Салат с креветками, авокадо и грейпфрутом",Shrimp salad with avocado and grapefruit.
96,"Салат с курицей, ананасом и сыром",Chicken salad with pineapple and cheese.
97,"Салат с тунцом, яйцом и огурцом",Tuna salad with egg and cucumber.
98,Салат с копчёным лососем и спаржей,Smoked salmon salad with asparagus.
99,"Салат с беконом, яйцом и сыром","Bacon, egg and cheese salad."
100,Суп из чечевицы с копчёностями,Lentil soup with smoked meats.
101,Солянка с колбасой и копчёностями,Solyanka with sausage and smoked meats.
102,Суп с фрикадельками и рисом,Meatball soup with rice.
103,Суп с курицей и вермишелью,Chicken noodle soup.
104,Суп с грибами и перловкой,Mushroom and barley soup.
105,Холодец с хреном и горчицей,Meat jelly with horseradish and mustard.
106,Жаркое из свинины с картофелем и морковью,Pork roast with potatoes and carrots.
107,Гуляш из говядины с картофельным пюре,Beef goulash with mashed potatoes.
108,Курица в сливочном соусе с грибами,Chicken in cream sauce with mushrooms.
109,Индейка с клюквенным соусом и брокколи,Turkey with cranberry sauce and broccoli.
110,Утиная грудка с апельсиновым соусом и картофелем,Duck breast with orange sauce and potatoes.
111,Ягнёнок в травах с запечёнными овощами,Herb-crusted lamb with roasted vegetables.
112,Телячьи отбивные с соусом демиглас,Veal chops with demi-glace sauce.
113,Свиные рёбрышки с барбекю соусом,Pork ribs with barbecue sauce.
114,Бифштекс с луковым кольцом и картофелем фри,Beefsteak with onion rings and fries.
115,Гамбургер с беконом и сыром чеддер,Hamburger with bacon and cheddar cheese.
116,Чизбургер с грибами и соусом BBQ,Cheeseburger with mushrooms and BBQ sauce.
117,Сэндвич с индейкой и авокадо,Turkey and avocado sandwich.
118,Бургер с лососем и соусом тар-тар,Salmon burger with tartar sauce.
119,Пицца с ветчиной и грибами,Ham and mushroom pizza.
120,Пицца с морепродуктами и сыром,Seafood and cheese pizza.
121,Пицца с четырьмя сырами,Four-cheese pizza.
122,Пицца с пепперони и оливками,Pepperoni and olive pizza.
123,Пицца с овощами и тофу,Vegetable and tofu pizza.
124,Пирог с капустой и яйцом,Cabbage and egg pie.
125,Пирог с яблоками и корицей,Apple and cinnamon pie.
126,Пирог с вишней и творогом,Cherry and cottage cheese pie.
127,Пирог с курицей и грибами,Chicken and mushroom pie.
128,Пирог с рыбой и рисом,Fish and rice pie.
129,Ватрушка с творогом и изюмом,Cottage cheese and raisin pastry.
130,Пончики с шоколадной глазурью,Donuts with chocolate glaze.
131,Эклер с заварным кремом,Éclair with custard cream.
132,Макаруны с малиной,Macarons with raspberry.
133,Панна-котта с малиновым соусом,Panna cotta with raspberry sauce.
134,Профитроли с шоколадным соусом,Profiteroles with chocolate sauce.
135,Штрудель с яблоками и орехами,Apple and walnut strudel.
136,Кекс с черникой и лимонной глазурью,Blueberry and lemon glaze muffin.
137,Брауни с грецким орехом,Brownie with walnuts.
138,Медовик с грецкими орехами,Honey cake with walnuts.
139,Наполеон с заварным кремом,Napoleon with custard cream.
140,"Торт ""Птичье молоко"" с шоколадом","""Bird’s Milk"" cake with chocolate."
141,"Торт ""Красный бархат"" с кремом из сыра маскарпоне",Red velvet cake with mascarpone cream.
142,"Торт ""Черный лес"" с вишней",Black Forest cake with cherries.
143,"Торт ""Медовый"" с орехами",Honey cake with nuts.
144,"Торт ""Прага"" с шоколадом и орехами","""Prague"" cake with chocolate and nuts."
145,"Торт ""Тирамису"" с кофе и какао",Tiramisu cake with coffee and cocoa.
146,"Торт ""Чизкейк"" с клубникой",Cheesecake with strawberries.
147,"Торт ""Мраморный"" с шоколадом и ванилью",Marble cake with chocolate and vanilla.
148,"Торт ""Лимонный"" с лимонной глазурью",Lemon cake with lemon glaze.
149,Уха из сибирской щуки с кореньями и копчёным салом,Siberian pike fish soup with roots and smoked lard
150,Томатный суп с базиликом и моцареллой,Tomato soup with basil and mozzarella
151,Крем-суп из лесных грибов с трюфельным маслом,Cream of wild mushroom soup with truffle oil
152,Холодный свекольник со сметаной и укропом,Cold beetroot soup with sour cream and dill
153,Бульон из гуся с пельменями и зеленью,Goose broth with dumplings and herbs
154,Карпаччо из лося с пармезаном и рукколой,Elk carpaccio with parmesan and arugula
155,Тартар из тунца с авокадо и кунжутом,Tuna tartare with avocado and sesame
156,Брускетта с икрой трески и сливочным сыром,Bruschetta with cod roe and cream cheese
157,Салат с копчёным лососем и мандаринами,Salad with smoked salmon and mandarins
158,Капрезе с черри и бальзамическим соусом,Caprese with cherry tomatoes and balsamic glaze
159,Лосось в медово-горчичном соусе с рисом,Salmon in honey mustard sauce with rice
160,Стейк Рибей на углях с картофельным пюре,Grilled ribeye steak with mashed potatoes
161,Утиная грудка с яблочным пюре и брюссельской капустой,Duck breast with apple purée and Brussels sprouts
162,Филе индейки с грибным соусом и киноа,Turkey fillet with mushroom sauce and quinoa
163,Запечённая форель с лимоном и травами,Baked trout with lemon and herbs
164,Корейка ягнёнка с розмарином и чесночным пюре,Lamb loin with rosemary and garlic mash
165,Паста с морепродуктами в сливочном соусе,Seafood pasta in creamy sauce
166,Рагу из оленины с овощами и красным вином,Venison stew with vegetables and red wine
167,Котлеты из телятины с гречкой и сливочным соусом,Veal cutlets with buckwheat and cream sauce
168,Запечённый карп с имбирём и соевым соусом,Baked carp with ginger and soy sauce
169,Чизкейк с малиновым соусом,Cheesecake with raspberry sauce
170,Шоколадный фондан с ванильным мороженым,Chocolate fondant with vanilla ice cream
171,"Торт ""Медовик"" с карамелью",Honey cake with caramel
172,Клюквенный пирог с мороженым,Cranberry pie with ice cream
173,Миндальное печенье с шоколадной глазурью,Almond cookies with chocolate glaze
174,Тирамису с клубникой,Tiramisu with strawberries
175,Пудинг из манго с кокосовой стружкой,Mango pudding with coconut flakes
176,Ягодный мусс с белым шоколадом,Berry mousse with white chocolate
177,Панна котта с вишнёвым соусом,Panna cotta with cherry sauce
178,Мороженое с фисташками и мёдом,Pistachio and honey ice cream
179,Морс из клюквы и брусники,Lingonberry and cranberry fruit drink
180,Глинтвейн с яблоком и корицей,Mulled wine with apple and cinnamon
181,Смузи из банана и киви,Banana and kiwi smoothie
182,Чай с мятой и лимоном,Mint and lemon tea
183,Сок из свежего ананаса,Fresh pineapple juice
184,"Кофе ""Флэт уайт"" с миндальным молоком",Flat white with almond milk
185,Лимонад с имбирём и мёдом,Ginger and honey lemonade
186,Зелёный чай с жасмином,Jasmine green tea
187,Какао с зефиром,Hot cocoa with marshmallows
188,Креветки в чесночном соусе,Shrimp in garlic sauce
189,Мидии в белом вине с зеленью,Mussels in white wine with herbs
190,Копчёный угорь с соусом терияки,Smoked eel with teriyaki sauce
191,Осетрина запечённая с лимоном и укропом,Baked sturgeon with lemon and dill
192,Кальмары в кляре с соусом тартар,Fried calamari with tartar sauce
193,Лосось на пару с брокколи,Steamed salmon with broccoli
194,Скумбрия с картофелем и луком,Mackerel with potatoes and onions
195,Каракатица с рисом и специями,Cuttlefish with rice and spices
196,Семга на гриле с овощами,Grilled salmon with vegetables
197,Сельдь с картофелем и сметаной,Herring with potatoes and sour cream
198,"Говядина ""Веллингтон"" с грибами",Beef Wellington with mushrooms
199,Баранина в медово-чесночном соусе,Lamb in honey-garlic sauce
200,Свиные рёбрышки барбекю,BBQ pork ribs
201,Фаршированный перец с мясом и рисом,Stuffed bell pepper with meat and rice
202,Курица в сырном соусе,Chicken in cheese sauce
203,Кролик в сливочном соусе с овощами,Rabbit in cream sauce with vegetables
204,Говяжий язык с хреном,Beef tongue with horseradish
205,Колбаски с картофельным пюре,Sausages with mashed potatoes
206,Свиная корейка с яблоками,Pork loin with apples
207,Телячий стейк с бальзамическим соусом,Veal steak with balsamic sauce
208,Фалафель с хумусом и овощами,Falafel with hummus and vegetables
209,Рататуй с базиликом,Ratatouille with basil
210,Тыквенный суп с кокосовым молоком,Pumpkin soup with coconut milk
211,Гречка с грибами и луком,Buckwheat with mushrooms and onions
212,Овощное рагу с нутом,Vegetable stew with chickpeas
213,Лазанья с баклажанами и сыром,Eggplant and cheese lasagna
214,Картофельные драники с соусом,Potato pancakes with sauce
215,Кускус с овощами и оливковым маслом,Couscous with vegetables and olive oil
216,Брокколи на пару с сыром,Steamed broccoli with cheese
217,Запечённые овощи с травами,Baked vegetables with herbs
218,Спагетти с мидиями и чесноком,Spaghetti with mussels and garlic
219,Ризотто с трюфелями,Truffle risotto
220,Паста с песто и кедровыми орешками,Pasta with pesto and pine nuts
221,Лазанья с шпинатом и сыром,Spinach and cheese lasagna
222,Феттучини с грибами и сливками,Fettuccine with mushrooms and cream
223,Паста с томатами и базиликом,Pasta with tomatoes and basil
224,Ризотто с морепродуктами,Seafood risotto
225,Лингвини с креветками и лимоном,Linguine with shrimp and lemon
226,Паста с сыром и чёрным перцем,Pasta with cheese and black pepper
227,Ризотто с шафраном и пармезаном,Saffron risotto with parmesan
228,"Салат ""Цезарь"" с курицей",Caesar salad with chicken
229,Греческий салат с оливками,Greek salad with olives
230,Салат с авокадо и креветками,Avocado and shrimp salad
231,Салат с козьим сыром и свёклой,Goat cheese and beetroot salad
232,Салат с рукколой и пармезаном,Arugula and parmesan salad
233,Салат с тунцом и яйцом,Tuna and egg salad
234,Салат с яблоком и сельдереем,Apple and celery salad
235,Салат с кукурузой и фасолью,Corn and bean salad
236,Салат с киноа и овощами,Quinoa and vegetable salad
237,Салат с орехами и мёдом,Nut and honey salad
238,Пельмени с олениной со сметаной, Venison dumplings with sour cream
239,Блины с красной икрой,Pancakes with red caviar
240,Окрошка на квасе,Okroshka with kvass
241,Холодец с хреном,Meat jelly with horseradish
242,Солянка с копчёностями,Solyanka soup with smoked meats
243,Манты с бараниной,Manti with lamb
244,Чак-чак с медом,Chak-chak with honey
245,Плов с бараниной,Piдaf with lamb
246,Галушки с грибами,Dumplings with mushrooms
247,Шашлык из свинины,Skewerd pork
248,Сырная тарелка с орехами,Cheese board with nuts
249,Домашний творог с мёдом,Homemade cottage cheese with honey
250,Камамбер с фруктовым соусом,Camembert with fruit sauce
251,Козий сыр с оливками,Goat cheese with olives
252,Таледжо с красным вином,Taleggio with red wine
253,Сырный фондю,Cheese fondue
254,Мягкий сыр с ягодным джемом,Soft cheese with berry jam
255,Овечий сыр с травами,Sheep milk cheese with herbs
256,Пармезан с бальзамическим соусом,Parmesan chese with balsamic glaze
257,Голубой сыр с грецкими орехами,Blue cheese with walnuts
258,Тофу с овощами и соевым соусом,Tofu with vegetables and soy sauce
259,Веганский бургер с авокадо,Vegan burger with avocado
260,Салат с киноа и тофу,Quinoa and tofu salad
261,Овощной суп с нутом,Vegetable soup with chickpeas
262,Фалафель с тахини,Falafel with tahini
263,Веганские котлеты из чечевицы,Lentil vegan patties
264,Картофель с травами и оливковым маслом,Potatoes with herbs and olive oil
265,Овощное карри с рисом,Vegetable curry with rice
266,Веганский шоколадный торт,Vegan chocolate cake
267,Фруктовый салат с мёдом,Fruit salad with honey
268,Маргарита с солью,Margarita with salt
269,Сибирские пельмени с грибами,Siberian dumplings with mushrooms
270,Запечённый филей из кабана,Roasted wild boar fillet
271,Дикий кабан с ягодным соусом,Wild boar with berry sauce
272,Рыбный пирог с икрой,Fish pie with caviar
273,Утиная грудка с клюквой,Duck breast with cranberries
274,Запечённый козлёнок с травами,Roasted goat with herbs
275,Фаршированный перепел с молодым картофелем и артишоками,Stuffed quail with baby potatoes and artichokes
276,Десерт из морошки,Cloudberry dessert
277,Чай из таёжных трав,Taiga herbal tea
278,Настойка на кедровых орехах,Pine nut tincture
279,Лимонад из облепихи,Sea buckthorn lemonade
280,Сибирский морс из клюквы,Siberian cranberry drink
281,"Коктейль ""Тайга""",Taiga cocktail
282,Настойка на шишках,Pine cone tincture
283,Настойка на бруснике,Lingonberry tincture
284,Лимонад из мяты и липы,Mint and linden lemonade
285,"Торт ""Тайга"" с лесными ягодами",Taiga cake with wild berries
286,Пирог с кедровыми орехами,Pine nut pie
287,Десерт из брусники и сливок,Lingonberry and cream dessert
288,Мороженое из облепихи,Sea buckthorn ice cream
289,Чизкейк с клюквой,Cranberry cheesecake
290,Пирог с малиной и белым шоколадом,Raspberry and white chocolate pie
291,Десерт из черники и кешью,Blueberry and cashew dessert
292,"Торт ""Лесной орех""",Hazelnut cake
293,Мусс из морошки и мёда,Cloudberry and honey mousse
294,Пирог с клубникой и миндалём,Strawberry and almond pie
295,Карась в лимонном маринаде с розмарином и чесночным маслом,Crucian carp in lemon marinade with rosemary and garlic oil
296,Фаршированные перцы с говядиной и рисом под томатным соусом,Stuffed bell peppers with beef and rice in tomato sauce
297,Тыквенный суп-пюре с кокосовым молоком и имбирем,Pumpkin cream soup with coconut milk and ginger
298,Запеченный картофель с трюфельным маслом и пармезаном,Baked potatoes with truffle oil and parmesan
299,"Салат из авокадо, креветок и грейпфрута с цитрусовым дрессингом","Avocado, shrimp and grapefruit salad with citrus dressing"
300,Паста с морепродуктами в сливочно-чесночном соусе,Pasta with seafood in creamy garlic sauce
301,Утка в апельсиновом соусе с фри из батата,Duck in orange sauce served with sweet potato fries
302,Сырный суп с брокколи и хрустящими гренками,Cheesy broccoli soup with crispy croutons
303,Куриные котлеты с грибным соусом и гречневой кашей,Chicken cutlets with mushroom sauce and buckwheat porridge
304,Стейк из лосося с овощами гриль и соусом песто,Salmon steak with grilled vegetables and pesto sauce
305,Рулетики из баклажанов с сыром и томатами,Eggplant rolls stuffed with cheese and tomatoes
306,Суп из морепродуктов с шафраном и базиликом,Seafood soup with saffron and basil
307,Фокачча с оливками и розмарином,Focaccia with olives and rosemary
308,Каре ягненка с мятным соусом и запеченными овощами,Lamb rack with mint sauce and roasted vegetables
309,"Салат с тунцом, яйцом и стручковой фасолью","Salad with tuna, egg and green beans"
310,Ризотто с грибами и трюфельным маслом,Mushroom risotto with truffle oil
311,Пирог с яблоками и корицей,Apple pie with cinnamon
312,Брускетта с томатами и базиликом,Bruschetta with tomatoes and basil
313,Карпаччо из говядины с рукколой и пармезаном,Beef carpaccio with arugula and parmesan
314,Суп с фрикадельками и лапшой,Meatball soup with noodles
315,Греческий салат с оливками и фетой,Greek salad with olives and feta
316,Лазанья с мясным фаршем и бешамель,Lasagna with minced meat and béchamel sauce
317,Тартар из тунца с авокадо и кунжутом,Tuna tartare with avocado and sesame
318,Суп с чечевицей и копченым беконом,Lentil soup with smoked bacon
319,"Гусь, запеченный с яблоками и медом",Roasted goose with apples and honey
320,"Салат с курицей, ананасом и орехами кешью",Chicken salad with pineapple and cashews
321,Картофельное пюре с зеленью и сливочным маслом,Mashed potatoes with herbs and butter
322,Стейк из говядины с красным вином и грибами,Beef steak with red wine and mushrooms
323,"Салат с креветками, авокадо и манго",Shrimp salad with avocado and mango
324,Паста карбонара с беконом и пармезаном,Carbonara pasta with bacon and parmesan
325,Суп с курицей и лапшой,Chicken noodle soup
326,Жареные кабачки с чесноком и зеленью,Fried zucchini with garlic and herbs
327,Курица в сливочном соусе с грибами,Chicken in creamy mushroom sauce
328,"Салат с беконом, яйцом и салатными листьями","Salad with bacon, egg and lettuce"
329,Томатный суп с базиликом и сливками,Tomato soup with basil and cream
330,Жареный рис с овощами и курицей,Fried rice with vegetables and chicken
331,Стейк из тунца с соусом терияки,Tuna steak with teriyaki sauce
332,Сырный фондю с хлебом и овощами,Cheese fondue with bread and vegetables
333,"Салат с говядиной, рукколой и томатами",Beef salad with arugula and tomatoes
334,Пирог с сыром и зеленью,Cheese and herb pie
335,Запеченная рыба с лимоном и травами,Baked fish with lemon and herbs
336,Крем-суп из брокколи с хрустящими гренками,Broccoli cream soup with crispy croutons
337,Паста с лососем и сливочным соусом,Pasta with salmon and creamy sauce
338,"Салат с курицей, виноградом и орехами",Chicken salad with grapes and nuts
339,Картофельные драники с сметаной,Potato pancakes with sour cream
340,Суп с фасолью и копченой колбасой,Bean soup with smoked sausage
341,Стейк из свинины с яблочным соусом,Pork steak with apple sauce
342,"Салат с креветками, авокадо и рукколой",Shrimp salad with avocado and arugula
343,Паста с грибами и сливочным соусом,Pasta with mushrooms and creamy sauce
344,Суп с курицей и рисом,Chicken and rice soup
345,Жареные баклажаны с чесноком и зеленью,Fried eggplant with garlic and herbs
346,Курица в медовом соусе с кунжутом,Chicken in honey sauce with sesame
347,"Салат с тунцом, кукурузой и яйцом","Salad with tuna, corn and egg"
348,Томатный суп с базиликом и чесночными гренками,Tomato soup with basil and garlic croutons
349,Жареный рис с креветками и овощами,Fried rice with shrimp and vegetables
350,Стейк из лосося с соусом песто,Salmon steak with pesto sauce
351,Сырный фондю с хлебом и яблоками,Cheese fondue with bread and apples
352,"Салат с курицей, огурцами и томатами",Chicken salad with cucumbers and tomatoes
353,Пирог с грибами и сыром,Mushroom and cheese pie
354,Запеченная рыба с травами и лимоном,Baked fish with herbs and lemon
355,Крем-суп из тыквы с хрустящими гренками,Pumpkin cream soup with crispy croutons
356,Паста с креветками и сливочным соусом,Pasta with shrimp and creamy sauce
357,"Салат с курицей, яблоками и орехами",Chicken salad with apples and nuts
358,Картофельные драники с грибами,Potato pancakes with mushrooms
359,Суп с горохом и копчеными ребрышками,Pea soup with smoked ribs
360,Стейк из индейки с клюквенным соусом,Turkey steak with cranberry sauce
361,"Салат с креветками, авокадо и томатами",Shrimp salad with avocado and tomatoes
362,Паста с брокколи и сливочным соусом,Pasta with broccoli and creamy sauce
363,Суп с курицей и вермишелью,Chicken noodle soup
364,Жареные кабачки с чесноком и травами,Fried zucchini with garlic and herbs
365,Курица в томатном соусе с базиликом,Chicken in tomato basil sauce
366,"Салат с говядиной, томатами и огурцами",Beef salad with tomatoes and cucumbers
367,Томатный суп с гренками и базиликом,Tomato soup with croutons and basil
368,Жареный рис с курицей и овощами,Fried rice with chicken and vegetables
369,Стейк из тунца с соусом из лайма,Tuna steak with lime sauce
370,Сырный фондю с хлебом и виноградом,Cheese fondue with bread and grapes
371,"Салат с курицей, огурцами и яйцом",Chicken salad with cucumbers and egg
372,Пирог с рыбой и сыром,Fish and cheese pie
